msoa,income
E02000487,44100.0
E02000513,40100.0
E02000514,43800.0
E02000519,37000.0
E02000517,37000.0
E02000520,41800.0
E02000512,40200.0
E02000510,43900.0
E02000515,43500.0
E02000508,34200.0
E02000503,47100.0
E02000501,49700.0
E02000499,48000.0
E02000511,41000.0
E02000500,48900.0
E02000497,46000.0
E02000496,42100.0
E02000525,42700.0
E02000524,42800.0
E02000522,43000.0
E02000507,44100.0
E02000504,52100.0
E02000506,52100.0
E02000502,45200.0
E02000495,45000.0
E02000494,46700.0
E02000521,39800.0
E02000523,46300.0
E02006796,46600.0
E02000509,34700.0
E02000498,40800.0
E02000516,45900.0
E02000518,39300.0
E02000547,41000.0
E02000548,39600.0
E02006972,
E02000531,40300.0
E02006973,
E02000526,55900.0
E02000532,48200.0
E02000533,47700.0
E02000538,39700.0
E02000541,40900.0
E02000549,39500.0
E02000552,43900.0
E02000550,43000.0
E02000551,39100.0
E02000553,38700.0
E02000536,44500.0
E02000535,43200.0
E02000529,43000.0
E02000542,41500.0
E02000537,47700.0
E02000530,39000.0
E02000543,48600.0
E02000540,45600.0
E02000546,42900.0
E02000544,47700.0
E02000545,42200.0
E02000539,46400.0
E02000534,58100.0
E02006792,47800.0
E02000572,37400.0
E02000574,42600.0
E02000573,50100.0
E02000570,54000.0
E02000576,38800.0
E02000575,42100.0
E02000568,35800.0
E02000567,44800.0
E02000569,44400.0
E02000571,44100.0
E02000560,45100.0
E02000558,37300.0
E02000556,46800.0
E02000562,44200.0
E02000566,52100.0
E02000559,54300.0
E02000555,44500.0
E02000554,39800.0
E02000564,47000.0
E02000563,38900.0
E02000557,39300.0
E02000561,48300.0
E02000565,43600.0
E02000589,42100.0
E02000587,49000.0
E02000591,41600.0
E02000588,52100.0
E02000590,39700.0
E02000584,40300.0
E02000580,39600.0
E02000583,44000.0
E02000592,62600.0
E02000597,36300.0
E02000595,41200.0
E02000593,46000.0
E02000577,34900.0
E02000585,43000.0
E02000581,36900.0
E02000579,40000.0
E02000582,42900.0
E02000586,54700.0
E02000596,42700.0
E02000594,43500.0
E02000578,32700.0
E02000611,52600.0
E02000614,46800.0
E02000608,49900.0
E02000607,51700.0
E02000610,48200.0
E02000605,46700.0
E02000604,52700.0
E02000603,43000.0
E02000601,47000.0
E02000600,52900.0
E02000615,46200.0
E02000617,41600.0
E02000616,44600.0
E02000599,46100.0
E02000602,40800.0
E02000606,52000.0
E02000609,45400.0
E02000612,48500.0
E02000613,48400.0
E02000598,53600.0
E02006801,42100.0
E02000619,41400.0
E02000637,53600.0
E02000632,55100.0
E02000633,41500.0
E02000638,41000.0
E02000636,54400.0
E02000634,41100.0
E02000640,47500.0
E02000629,53000.0
E02000630,52800.0
E02000635,44900.0
E02000628,38000.0
E02000626,37900.0
E02000650,41000.0
E02000645,47100.0
E02000648,36100.0
E02000631,48300.0
E02000644,44900.0
E02000647,44800.0
E02000627,46900.0
E02000625,41400.0
E02000623,41800.0
E02000622,48900.0
E02000620,45100.0
E02000621,47300.0
E02000649,46600.0
E02000651,46100.0
E02000646,51000.0
E02000643,45100.0
E02000641,34400.0
E02000639,39900.0
E02000652,39100.0
E02000642,45100.0
E02000624,43300.0
E02000686,35900.0
E02000681,39500.0
E02000661,46000.0
E02000659,48700.0
E02000657,41600.0
E02000660,47900.0
E02000677,42800.0
E02000674,45400.0
E02000667,47300.0
E02000671,46400.0
E02006784,35600.0
E02006783,35900.0
E02000653,44200.0
E02000654,39600.0
E02000673,50300.0
E02000680,45900.0
E02000675,42900.0
E02000683,35200.0
E02000666,50100.0
E02000663,53900.0
E02000668,46000.0
E02000665,48400.0
E02007009,
E02000669,46300.0
E02000655,41800.0
E02006798,42600.0
E02000676,48300.0
E02000679,39600.0
E02000672,41700.0
E02000670,37500.0
E02000687,41700.0
E02000685,41700.0
E02000662,44500.0
E02000658,43000.0
E02000678,37300.0
E02000682,38400.0
E02000697,60900.0
E02000700,40900.0
E02000694,53500.0
E02000703,52400.0
E02000709,50900.0
E02000704,49800.0
E02000696,44000.0
E02000693,54900.0
E02000706,37500.0
E02000710,37100.0
E02000699,56000.0
E02000701,38600.0
E02000702,44300.0
E02000695,43300.0
E02000691,59900.0
E02000692,53700.0
E02000705,43400.0
E02000713,46100.0
E02000711,39600.0
E02000707,42100.0
E02000712,39100.0
E02000698,51900.0
E02000690,49500.0
E02000708,49700.0
E02000689,54400.0
E02000748,38300.0
E02000746,38600.0
E02000745,40800.0
E02000732,38500.0
E02000735,34400.0
E02000738,41300.0
E02000740,39400.0
E02000747,46000.0
E02000743,35500.0
E02000744,36500.0
E02000749,36800.0
E02000731,39300.0
E02000737,36500.0
E02000718,38300.0
E02000723,38500.0
E02000724,40000.0
E02000736,33600.0
E02000742,38600.0
E02000714,40400.0
E02000719,39300.0
E02000720,41900.0
E02000722,44900.0
E02000729,45300.0
E02000721,37700.0
E02000727,39500.0
E02000730,39400.0
E02000715,35400.0
E02000716,37600.0
E02000717,35400.0
E02000739,35300.0
E02000734,38600.0
E02000741,39100.0
E02006998,
E02006996,
E02000725,45100.0
E02000728,39200.0
E02000733,37300.0
E02000767,38600.0
E02000763,42000.0
E02000762,39900.0
E02000765,44300.0
E02000754,44300.0
E02000755,41400.0
E02007018,
E02007017,
E02000757,51700.0
E02006925,43300.0
E02007020,
E02007019,
E02006924,39300.0
E02000756,41300.0
E02000760,34700.0
E02000758,38100.0
E02006800,40100.0
E02000752,36000.0
E02000753,36800.0
E02000782,35900.0
E02000783,34200.0
E02000781,40200.0
E02000751,42800.0
E02000770,40900.0
E02000773,43100.0
E02000759,42600.0
E02000774,41600.0
E02000772,41100.0
E02000764,44300.0
E02000776,42700.0
E02000779,41900.0
E02000768,51900.0
E02000777,47100.0
E02000784,50300.0
E02000788,52100.0
E02000795,49400.0
E02000802,46100.0
E02000801,55600.0
E02000800,43600.0
E02000791,52300.0
E02000806,45100.0
E02000803,42000.0
E02000805,44400.0
E02000796,44100.0
E02000785,53300.0
E02000787,47500.0
E02000786,48700.0
E02000790,63700.0
E02000794,57100.0
E02000789,46900.0
E02000799,53400.0
E02000797,63000.0
E02000804,46500.0
E02000792,63400.0
E02000798,45000.0
E02000793,44700.0
E02000826,38000.0
E02000825,37300.0
E02000830,46600.0
E02000827,35800.0
E02000823,39100.0
E02000808,47400.0
E02006802,36700.0
E02000815,48900.0
E02000812,42900.0
E02000839,43300.0
E02000838,47700.0
E02000836,56000.0
E02000834,49900.0
E02000818,37700.0
E02000822,36700.0
E02000821,36300.0
E02000810,43200.0
E02006942,
E02000816,39800.0
E02000819,37900.0
E02000824,38100.0
E02000829,41200.0
E02000817,35300.0
E02000820,41900.0
E02000832,37700.0
E02000835,46200.0
E02000828,40000.0
E02000807,57200.0
E02000813,43100.0
E02000833,46100.0
E02000814,51500.0
E02000831,45300.0
E02000837,56900.0
E02000850,44500.0
E02000858,36600.0
E02000863,43700.0
E02000856,43400.0
E02000860,39200.0
E02000861,52500.0
E02006836,49300.0
E02000854,46400.0
E02000852,46600.0
E02000859,36200.0
E02000855,45900.0
E02000848,44100.0
E02000847,45200.0
E02000845,47100.0
E02000841,39600.0
E02000840,38200.0
E02000844,39700.0
E02000842,44100.0
E02000851,40300.0
E02000853,41900.0
E02000846,44300.0
E02000857,43400.0
E02000843,44600.0
E02000849,42700.0
E02000865,37400.0
E02000868,44100.0
E02000876,40600.0
E02000874,36700.0
E02000893,45100.0
E02007113,
E02007114,
E02000864,37700.0
E02000866,45900.0
E02000867,45000.0
E02000871,39100.0
E02000875,41800.0
E02000883,35100.0
E02000881,37100.0
E02000886,49400.0
E02000887,40100.0
E02000870,37200.0
E02000873,33400.0
E02000877,38500.0
E02000894,54200.0
E02006854,55000.0
E02006853,53400.0
E02000879,34100.0
E02000882,40200.0
E02000890,52500.0
E02000889,48900.0
E02000885,35100.0
E02000888,48500.0
E02000878,43100.0
E02000869,41300.0
E02000872,46300.0
E02000884,48500.0
E02000880,38400.0
E02000922,44100.0
E02000918,44800.0
E02000921,40100.0
E02000920,41000.0
E02000905,45900.0
E02000902,41400.0
E02000904,47800.0
E02000895,35500.0
E02000896,41800.0
E02000898,38800.0
E02000899,39200.0
E02000915,46000.0
E02000913,42200.0
E02000914,39000.0
E02000917,44200.0
E02000919,45300.0
E02000901,46500.0
E02000897,37300.0
E02000908,43500.0
E02000911,45300.0
E02000912,41300.0
E02000906,43600.0
E02000903,37000.0
E02000910,44900.0
E02000907,35000.0
E02000909,45200.0
E02000916,46600.0
E02000900,38300.0
E02000943,55800.0
E02000948,54400.0
E02000939,54600.0
E02000951,49100.0
E02000952,45100.0
E02000953,52500.0
E02000941,54200.0
E02000940,49400.0
E02000946,47700.0
E02000942,54000.0
E02000936,52200.0
E02000933,52700.0
E02000934,53400.0
E02000932,52500.0
E02000958,45800.0
E02000959,44200.0
E02000957,48500.0
E02000955,43500.0
E02000954,48800.0
E02000930,59600.0
E02000929,39300.0
E02000925,41600.0
E02000949,57600.0
E02000937,56700.0
E02000931,53300.0
E02000923,50400.0
E02007084,
E02000927,47700.0
E02000935,31000.0
E02000945,34400.0
E02000938,42900.0
E02000926,51500.0
E02000947,60400.0
E02000928,53500.0
E02000956,44200.0
E02000944,43300.0
E02000950,49500.0
E02000961,44900.0
E02000960,41700.0
E02000962,41300.0
E02000976,45200.0
E02000973,50300.0
E02000971,47900.0
E02000967,50000.0
E02000983,44600.0
E02000982,41400.0
E02000968,36800.0
E02000964,39300.0
E02000965,49600.0
E02000974,38700.0
E02000975,50500.0
E02000978,32600.0
E02000966,45900.0
E02000970,48200.0
E02000972,41700.0
E02000963,36500.0
E02000979,43900.0
E02000977,40600.0
E02000980,45000.0
E02000981,52400.0
E02000969,36100.0
E02006941,
E02007112,
E02007083,
E02006955,
E02006997,
E02006999,
E02006928,43300.0
E02006991,
E02006953,
E02006987,
E02006992,
E02006995,
E02007008,
